"CDMX Doméstica Alta 2017",1,2,1,0,0,0,0.16,"MXN",2017,0,"ok",9
0,15,20,30,40,50,70,90,120,1000
175.3,175.3,273.95000000000005,494.55,756.3499999999999,1035.95,1635.1499999999999,2414.15,3972.95,0
175.3,0,19.73,22.06,26.18,27.96,29.96,38.95,51.96,81.81
"CDMX Doméstica Baja 2017",1,2,1,0,0,0,0.16,"MXN",2017,0,"ok",3
0,15,20,30,40,50,70,90,120,1000
44.16,44.16,81.81,183.21,326.90999999999997,528.61,1038.6100000000001,1662.41,3221.21,0
44.16,0,7.53,10.14,14.37,20.17,25.5,31.19,51.96,81.81
"CDMX Doméstica Media 2017",1,2,1,0,0,0,0.16,"MXN",2017,0,"ok",7
0,15,20,30,40,50,70,90,120,1000
146.1,146.1,240.25,446.35,690.35,953.25,1534.6499999999999,2313.65,3872.4500000000003,0
146.1,0,18.83,20.61,24.4,26.29,29.07,38.95,51.96,81.81
"CDMX Doméstica Popular 2017",1,2,1,0,0,0,0.16,"MXN",2017,0,"ok",1
0,15,20,30,40,50,70,90,120,1000
38.95,38.95,55.85,109.35000000000001,218.55,377.85,852.25,1453.85,3012.6499999999996,0
38.95,0,3.38,5.35,10.92,15.93,23.72,30.08,51.96,81.81
"CDMX No Doméstica 2017",1,2,1,0,0,0,0.16,"MXN",2017,0,"ok",-1
0,10,20,30,50,70,90,120,1000
175.3,175.3,398.1,732.3,1512.1000000000001,2403.3,3364.3,4961.5,0
175.3,0,22.28,33.42,38.99,44.56,48.05,53.24,81.81
"CDMX Doméstica Alta 2018",1,2,1,0,0,0,0.16,"MXN",2018,0,"ok",9
0,15,20,30,40,50,70,90,120,1000
184.91,184.91,288.96,521.66,797.86,1092.8600000000001,1724.8600000000001,2546.66,4190.66,0
184.91,0,20.81,23.27,27.62,29.5,31.6,41.09,54.8,86.29
"CDMX Doméstica Baja 2018",1,2,1,0,0,0,0.16,"MXN",2018,0,"ok",3
0,15,20,30,40,50,70,90,120,1000
46.58,46.58,86.33,193.32999999999998,344.93,557.63,1095.6299999999999,1753.6299999999999,3397.63,0
46.58,0,7.95,10.7,15.16,21.27,26.9,32.9,54.8,86.29
"CDMX Doméstica Media 2018",1,2,1,0,0,0,0.16,"MXN",2018,0,"ok",7
0,15,20,30,40,50,70,90,120,1000
154.1,154.1,253.39999999999998,470.79999999999995,728.1999999999999,1005.5999999999999,1618.7999999999997,2440.6,4084.6,0
154.1,0,19.86,21.74,25.74,27.74,30.66,41.09,54.8,86.29
"CDMX Doméstica Popular 2018",1,2,1,0,0,0,0.16,"MXN",2018,0,"ok",1
0,15,20,30,40,50,70,90,120,1000
41.09,41.09,58.89,115.29,230.48999999999998,398.59000000000003,898.99,1533.3899999999999,3177.3900000000003,0
41.09,0,3.56,5.64,11.52,16.81,25.02,31.72,54.8,86.29
"CDMX No Doméstica 2018",1,2,1,0,0,0,0.16,"MXN",2018,0,"ok",-1
0,10,20,30,50,70,90,120,1000
184.91,184.91,420.01,772.51,1594.91,2534.91,3548.5099999999998,5233.3099999999995,0
184.91,0,23.51,35.25,41.12,47,50.68,56.16,86.29
"CDMX Doméstica Alta 2019",1,2,1,0,0,0,0.16,"MXN",2019,0,"ok",9
0,15,20,30,40,50,70,90,120,1000
194.54,194.54,304.03999999999996,548.84,839.4399999999999,1149.84,1814.84,2679.4399999999996,4409.24,0
194.54,0,21.9,24.48,29.06,31.04,33.25,43.23,57.66,90.79
"CDMX Doméstica Baja 2019",1,2,1,0,0,0,0.16,"MXN",2019,0,"ok",3
0,15,20,30,40,50,70,90,120,1000
49,49.,90.8,203.3,362.8,586.6,1152.6,1845.,3574.8,0
49,0,8.36,11.25,15.95,22.38,28.3,34.62,57.66,90.79
"CDMX Doméstica Media 2019",1,2,1,0,0,0,0.16,"MXN",2019,0,"ok",7
0,15,20,30,40,50,70,90,120,1000
162.13,162.13,266.63,495.33000000000004,766.13,1057.9299999999998,1703.13,2567.73,4297.53,0
162.13,0,20.9,22.87,27.08,29.18,32.26,43.23,57.66,90.79
"CDMX Doméstica Popular 2019",1,2,1,0,0,0,0.16,"MXN",2019,0,"ok",1
0,15,20,30,40,50,70,90,120,1000
43.23,43.23,61.98,121.38,242.57999999999998,419.38,945.78,1613.38,3343.18,0
43.23,0,3.75,5.94,12.12,17.68,26.32,33.38,57.66,90.79
"CDMX No Doméstica 2019",1,2,1,0,0,0,0.16,"MXN",2019,0,"ok",-1
0,10,20,30,50,70,90,120,1000
194.54,194.54,441.84000000000003,812.74,1678.14,2667.1400000000003,3733.5400000000004,5506.240000000001,0
194.54,0,24.73,37.09,43.27,49.45,53.32,59.09,90.79
"CDMX Doméstica Alta 2020",1,2,1,0,0,0,0.16,"MXN",2020,0,"ok",9
0,15,20,30,40,50,70,90,120,1000
202.23,202.23,316.03,570.53,872.6300000000001,1195.23,1886.43,2785.23,4583.429999999999,0
202.23,0,22.76,25.45,30.21,32.26,34.56,44.94,59.94,94.38
"CDMX Doméstica Baja 2020",1,2,1,0,0,0,0.16,"MXN",2020,0,"ok",3
0,15,20,30,40,50,70,90,120,1000
50.94,50.94,94.38999999999999,211.39,377.19,609.79,1198.19,1917.9900000000002,3716.19,0
50.94,0,8.69,11.7,16.58,23.26,29.42,35.99,59.94,94.38
"CDMX Doméstica Media 2020",1,2,1,0,0,0,0.16,"MXN",2020,0,"ok",7
0,15,20,30,40,50,70,90,120,1000
168.53,168.53,277.13,514.93,796.43,1099.73,1770.33,2669.13,4467.329999999999,0
